Plan,Cohort Year,Month,At_Risk,Retention
premium-plus,2021,32,420,0.492379835873388
premium-plus,2021,33,417,0.488862837045721
premium-plus,2021,34,417,0.488862837045721
premium-plus,2021,35,415,0.48651817116060964
premium-plus,2021,36,414,0.48534583821805394
premium-plus,2021,37,411,0.48182883939038684
premium-plus,2021,38,385,0.451348182883939
premium-plus,2021,39,380,0.4454865181711606
premium-plus,2021,40,377,0.44196951934349354
premium-plus,2021,41,375,0.4396248534583822
premium-plus,2021,42,375,0.4396248534583822
premium-plus,2021,43,374,0.4384525205158265
premium-plus,2021,44,373,0.4372801875732708
premium-plus,2021,45,372,0.4361078546307151
premium-plus,2021,46,371,0.4349355216881594
premium-plus,2021,47,370,0.43376318874560377
premium-plus,2021,48,368,0.43141852286049237
premium-plus,2022,1,645,1.0
premium-plus,2022,2,640,0.9922480620155039
premium-plus,2022,3,639,0.9906976744186047
premium-plus,2022,4,639,0.9906976744186047
premium-plus,2022,5,638,0.9891472868217054
premium-plus,2022,6,638,0.9891472868217054
premium-plus,2022,7,638,0.9891472868217054
premium-plus,2022,8,638,0.9891472868217054
premium-plus,2022,9,638,0.9891472868217054
premium-plus,2022,10,638,0.9891472868217054
premium-plus,2022,11,637,0.9875968992248062
premium-plus,2022,12,637,0.9875968992248062
premium-plus,2022,13,637,0.9875968992248062
premium-plus,2022,14,423,0.6558139534883721
premium-plus,2022,15,418,0.648062015503876
premium-plus,2022,16,418,0.648062015503876
premium-plus,2022,17,418,0.648062015503876
premium-plus,2022,18,418,0.648062015503876
premium-plus,2022,19,416,0.6449612403100775
premium-plus,2022,20,415,0.6434108527131783
premium-plus,2022,21,414,0.641860465116279
premium-plus,2022,22,412,0.6387596899224807
premium-plus,2022,23,411,0.6372093023255814
premium-plus,2022,24,408,0.6325581395348837
premium-plus,2022,25,407,0.6310077519379845
premium-plus,2022,26,377,0.5844961240310077
premium-plus,2022,27,372,0.5767441860465117
premium-plus,2022,28,371,0.5751937984496124
premium-plus,2022,29,371,0.5751937984496124
premium-plus,2022,30,371,0.5751937984496124
premium-plus,2022,31,370,0.5736434108527132
premium-plus,2022,32,369,0.5720930232558139
premium-plus,2022,33,367,0.5689922480620155
premium-plus,2022,34,367,0.5689922480620155
premium-plus,2022,35,367,0.5689922480620155
premium-plus,2022,36,365,0.5658914728682171
premium-plus,2022,37,354,0.5488372093023256
premium-plus,2022,38,261,0.4046511627906977
premium-plus,2022,39,185,0.2868217054263566
premium-plus,2022,40,183,0.2837209302325581
premium-plus,2022,41,167,0.2589147286821705
premium-plus,2022,42,119,0.18449612403100776
premium-plus,2022,43,77,0.11937984496124031
premium-plus,2022,44,49,0.07596899224806201
premium-plus,2022,45,36,0.05581395348837209
premium-plus,2022,46,27,0.04186046511627907
premium-plus,2022,47,24,0.037209302325581395
premium-plus,2022,48,13,0.020155038759689922
premium-plus,2023,1,742,1.0
premium-plus,2023,2,737,0.9932614555256065
premium-plus,2023,3,732,0.9865229110512129
premium-plus,2023,4,728,0.9811320754716981
premium-plus,2023,5,726,0.9784366576819407
premium-plus,2023,6,726,0.9784366576819407
premium-plus,2023,7,726,0.9784366576819407
premium-plus,2023,8,723,0.9743935309973046
premium-plus,2023,9,721,0.9716981132075472
premium-plus,2023,10,720,0.9703504043126685
premium-plus,2023,11,719,0.9690026954177897
premium-plus,2023,12,719,0.9690026954177897
premium-plus,2023,13,719,0.9690026954177897
premium-plus,2023,14,497,0.6698113207547169
premium-plus,2023,15,487,0.6563342318059299
premium-plus,2023,16,486,0.6549865229110512
premium-plus,2023,17,485,0.6536388140161725
premium-plus,2023,18,483,0.6509433962264151
premium-plus,2023,19,482,0.6495956873315364
premium-plus,2023,20,482,0.6495956873315364
premium-plus,2023,21,478,0.6442048517520216
premium-plus,2023,22,478,0.6442048517520216
premium-plus,2023,23,478,0.6442048517520216
premium-plus,2023,24,476,0.6415094339622641
premium-plus,2023,25,474,0.6388140161725068
premium-plus,2023,26,278,0.3746630727762803
premium-plus,2023,27,219,0.29514824797843664
premium-plus,2023,28,178,0.2398921832884097
premium-plus,2023,29,176,0.2371967654986523
premium-plus,2023,30,176,0.2371967654986523
premium-plus,2023,31,101,0.13611859838274934
premium-plus,2023,32,79,0.10646900269541779
premium-plus,2023,33,29,0.03908355795148248
premium-plus,2023,34,22,0.029649595687331536
premium-plus,2023,35,15,0.02021563342318059
premium-plus,2023,36,9,0.012129380053908356
premium-plus,2024,1,664,1.0
premium-plus,2024,2,658,0.9909638554216867
premium-plus,2024,3,654,0.9849397590361446
premium-plus,2024,4,647,0.9743975903614458
premium-plus,2024,5,647,0.9743975903614458
premium-plus,2024,6,646,0.9728915662650602
premium-plus,2024,7,644,0.9698795180722891
premium-plus,2024,8,640,0.963855421686747
premium-plus,2024,9,639,0.9623493975903614
premium-plus,2024,10,638,0.9608433734939759
premium-plus,2024,11,637,0.9593373493975904
premium-plus,2024,12,637,0.9593373493975904
premium-plus,2024,13,636,0.9578313253012049
premium-plus,2024,14,158,0.23795180722891565
premium-plus,2024,15,137,0.2063253012048193
premium-plus,2024,16,115,0.17319277108433734
premium-plus,2024,17,110,0.16566265060240964
premium-plus,2024,18,92,0.13855421686746988
premium-plus,2024,19,66,0.09939759036144578
premium-plus,2024,20,48,0.07228915662650602
premium-plus,2024,21,37,0.05572289156626506
premium-plus,2024,22,30,0.045180722891566265
premium-plus,2024,23,22,0.03313253012048193
premium-plus,2024,24,7,0.010542168674698794
premium-plus,2025,1,96,1.0
premium-plus,2025,2,95,0.9895833333333334
premium-plus,2025,3,95,0.9895833333333334
premium-plus,2025,4,94,0.9791666666666666
premium-plus,2025,5,94,0.9791666666666666
premium-plus,2025,6,94,0.9791666666666666
premium-plus,2025,7,94,0.9791666666666666
premium-plus,2025,8,94,0.9791666666666666
premium-plus,2025,9,94,0.9791666666666666
premium-plus,2025,10,78,0.8125
premium-plus,2025,11,56,0.5833333333333334
premium-plus,2025,12,39,0.40625
premium-plus-monthly,2019,1,195,1.0
premium-plus-monthly,2019,2,195,1.0
premium-plus-monthly,2019,3,193,0.9897435897435898
premium-plus-monthly,2019,4,189,0.9692307692307692
premium-plus-monthly,2019,5,186,0.9538461538461539
premium-plus-monthly,2019,6,184,0.9435897435897436
premium-plus-monthly,2019,7,181,0.9282051282051282
premium-plus-monthly,2019,8,180,0.9230769230769231
premium-plus-monthly,2019,9,178,0.9128205128205128
premium-plus-monthly,2019,10,176,0.9025641025641026
premium-plus-monthly,2019,11,173,0.8871794871794871
premium-plus-monthly,2019,12,172,0.882051282051282
premium-plus-monthly,2019,13,168,0.8615384615384616
premium-plus-monthly,2019,14,164,0.841025641025641
premium-plus-monthly,2019,15,160,0.8205128205128205
premium-plus-monthly,2019,16,158,0.8102564102564103
premium-plus-monthly,2019,17,156,0.8
premium-plus-monthly,2019,18,155,0.7948717948717948
premium-plus-monthly,2019,19,153,0.7846153846153846
premium-plus-monthly,2019,20,152,0.7794871794871795
premium-plus-monthly,2019,21,150,0.7692307692307693
premium-plus-monthly,2019,22,149,0.764102564102564
premium-plus-monthly,2019,23,148,0.7589743589743589
premium-plus-monthly,2019,24,147,0.7538461538461538
premium-plus-monthly,2019,25,143,0.7333333333333333
premium-plus-monthly,2019,26,139,0.7128205128205128
premium-plus-monthly,2019,27,136,0.6974358974358974
premium-plus-monthly,2019,28,135,0.6923076923076923
premium-plus-monthly,2019,29,135,0.6923076923076923
premium-plus-monthly,2019,30,134,0.6871794871794872
premium-plus-monthly,2019,31,133,0.6820512820512821
premium-plus-monthly,2019,32,133,0.6820512820512821
premium-plus-monthly,2019,33,131,0.6717948717948717
premium-plus-monthly,2019,34,131,0.6717948717948717
premium-plus-monthly,2019,35,131,0.6717948717948717
premium-plus-monthly,2019,36,129,0.6615384615384615
premium-plus-monthly,2019,37,129,0.6615384615384615
premium-plus-monthly,2019,38,129,0.6615384615384615
premium-plus-monthly,2019,39,127,0.6512820512820513
premium-plus-monthly,2019,40,126,0.6461538461538462
premium-plus-monthly,2019,41,126,0.6461538461538462
premium-plus-monthly,2019,42,125,0.6410256410256411
premium-plus-monthly,2019,43,124,0.6358974358974359
premium-plus-monthly,2019,44,123,0.6307692307692307
premium-plus-monthly,2019,45,123,0.6307692307692307
premium-plus-monthly,2019,46,123,0.6307692307692307
premium-plus-monthly,2019,47,122,0.6256410256410256
premium-plus-monthly,2019,48,122,0.6256410256410256
premium-plus-monthly,2020,1,381,1.0
premium-plus-monthly,2020,2,381,1.0
premium-plus-monthly,2020,3,361,0.94750656167979
premium-plus-monthly,2020,4,348,0.9133858267716536
premium-plus-monthly,2020,5,337,0.884514435695538
premium-plus-monthly,2020,6,330,0.8661417322834646
premium-plus-monthly,2020,7,314,0.8241469816272966
premium-plus-monthly,2020,8,307,0.8057742782152231
premium-plus-monthly,2020,9,304,0.7979002624671916
premium-plus-monthly,2020,10,293,0.7690288713910761
premium-plus-monthly,2020,11,287,0.7532808398950132
premium-plus-monthly,2020,12,283,0.7427821522309711
premium-plus-monthly,2020,13,277,0.7270341207349081
premium-plus-monthly,2020,14,273,0.7165354330708661
premium-plus-monthly,2020,15,265,0.6955380577427821
premium-plus-monthly,2020,16,261,0.6850393700787402
premium-plus-monthly,2020,17,257,0.6745406824146981
premium-plus-monthly,2020,18,250,0.6561679790026247
premium-plus-monthly,2020,19,246,0.6456692913385826
premium-plus-monthly,2020,20,242,0.6351706036745407
premium-plus-monthly,2020,21,237,0.6220472440944882
premium-plus-monthly,2020,22,229,0.6010498687664042
premium-plus-monthly,2020,23,228,0.5984251968503937
premium-plus-monthly,2020,24,227,0.5958005249343832
premium-plus-monthly,2020,25,225,0.5905511811023622
premium-plus-monthly,2020,26,222,0.5826771653543307
premium-plus-monthly,2020,27,218,0.5721784776902887
premium-plus-monthly,2020,28,214,0.5616797900262467
premium-plus-monthly,2020,29,210,0.5511811023622047
premium-plus-monthly,2020,30,205,0.5380577427821522
premium-plus-monthly,2020,31,205,0.5380577427821522
premium-plus-monthly,2020,32,202,0.5301837270341208
premium-plus-monthly,2020,33,198,0.5196850393700787
premium-plus-monthly,2020,34,195,0.5118110236220472
premium-plus-monthly,2020,35,193,0.5065616797900262
premium-plus-monthly,2020,36,191,0.5013123359580053
premium-plus-monthly,2020,37,191,0.5013123359580053
premium-plus-monthly,2020,38,190,0.49868766404199477
premium-plus-monthly,2020,39,189,0.49606299212598426
premium-plus-monthly,2020,40,187,0.49081364829396323
premium-plus-monthly,2020,41,183,0.48031496062992124
premium-plus-monthly,2020,42,180,0.47244094488188976
premium-plus-monthly,2020,43,177,0.4645669291338583
premium-plus-monthly,2020,44,177,0.4645669291338583
premium-plus-monthly,2020,45,177,0.4645669291338583
premium-plus-monthly,2020,46,171,0.44881889763779526
premium-plus-monthly,2020,47,168,0.4409448818897638
premium-plus-monthly,2020,48,166,0.4356955380577428
premium-plus-monthly,2021,1,337,1.0
premium-plus-monthly,2021,2,334,0.9910979228486647
premium-plus-monthly,2021,3,312,0.9258160237388724
premium-plus-monthly,2021,4,293,0.8694362017804155
premium-plus-monthly,2021,5,282,0.8367952522255193
premium-plus-monthly,2021,6,273,0.8100890207715133
premium-plus-monthly,2021,7,266,0.7893175074183977
premium-plus-monthly,2021,8,262,0.7774480712166172
premium-plus-monthly,2021,9,257,0.7626112759643917
premium-plus-monthly,2021,10,253,0.7507418397626113
premium-plus-monthly,2021,11,245,0.7270029673590505
premium-plus-monthly,2021,12,243,0.7210682492581603
premium-plus-monthly,2021,13,241,0.7151335311572701
premium-plus-monthly,2021,14,227,0.6735905044510386
premium-plus-monthly,2021,15,220,0.6528189910979229
premium-plus-monthly,2021,16,219,0.6498516320474778
premium-plus-monthly,2021,17,216,0.6409495548961425
premium-plus-monthly,2021,18,213,0.6320474777448071
premium-plus-monthly,2021,19,203,0.6023738872403561
premium-plus-monthly,2021,20,201,0.5964391691394659
premium-plus-monthly,2021,21,194,0.5756676557863502
premium-plus-monthly,2021,22,192,0.56973293768546
premium-plus-monthly,2021,23,189,0.5608308605341247
premium-plus-monthly,2021,24,186,0.5519287833827893
premium-plus-monthly,2021,25,182,0.5400593471810089
premium-plus-monthly,2021,26,181,0.5370919881305638
premium-plus-monthly,2021,27,177,0.5252225519287834
premium-plus-monthly,2021,28,175,0.5192878338278932
premium-plus-monthly,2021,29,173,0.5133531157270029
premium-plus-monthly,2021,30,172,0.5103857566765578
premium-plus-monthly,2021,31,172,0.5103857566765578
premium-plus-monthly,2021,32,170,0.5044510385756676
premium-plus-monthly,2021,33,165,0.4896142433234421
premium-plus-monthly,2021,34,162,0.4807121661721068
premium-plus-monthly,2021,35,162,0.4807121661721068
premium-plus-monthly,2021,36,156,0.4629080118694362
premium-plus-monthly,2021,37,155,0.4599406528189911
premium-plus-monthly,2021,38,152,0.45103857566765576
premium-plus-monthly,2021,39,149,0.4421364985163205
premium-plus-monthly,2021,40,146,0.4332344213649852
premium-plus-monthly,2021,41,146,0.4332344213649852
premium-plus-monthly,2021,42,143,0.42433234421364985
premium-plus-monthly,2021,43,142,0.42136498516320475
premium-plus-monthly,2021,44,139,0.4124629080118694
premium-plus-monthly,2021,45,136,0.4035608308605341
premium-plus-monthly,2021,46,134,0.39762611275964393
premium-plus-monthly,2021,47,134,0.39762611275964393
premium-plus-monthly,2021,48,133,0.39465875370919884
premium-plus-monthly,2022,1,237,1.0
premium-plus-monthly,2022,2,236,0.9957805907172996
premium-plus-monthly,2022,3,196,0.8270042194092827
premium-plus-monthly,2022,4,179,0.7552742616033755
premium-plus-monthly,2022,5,172,0.7257383966244726
premium-plus-monthly,2022,6,167,0.7046413502109705
premium-plus-monthly,2022,7,162,0.6835443037974683
premium-plus-monthly,2022,8,157,0.6624472573839663
premium-plus-monthly,2022,9,153,0.6455696202531646
premium-plus-monthly,2022,10,149,0.6286919831223629
premium-plus-monthly,2022,11,144,0.6075949367088608
premium-plus-monthly,2022,12,142,0.5991561181434599
premium-plus-monthly,2022,13,140,0.5907172995780591
premium-plus-monthly,2022,14,135,0.569620253164557
premium-plus-monthly,2022,15,131,0.5527426160337553
premium-plus-monthly,2022,16,129,0.5443037974683544
premium-plus-monthly,2022,17,128,0.540084388185654
premium-plus-monthly,2022,18,126,0.5316455696202531
premium-plus-monthly,2022,19,123,0.5189873417721519
premium-plus-monthly,2022,20,122,0.5147679324894515
premium-plus-monthly,2022,21,120,0.5063291139240507
premium-plus-monthly,2022,22,118,0.4978902953586498
premium-plus-monthly,2022,23,116,0.48945147679324896
premium-plus-monthly,2022,24,115,0.48523206751054854
premium-plus-monthly,2022,25,115,0.48523206751054854
premium-plus-monthly,2022,26,113,0.4767932489451477
premium-plus-monthly,2022,27,113,0.4767932489451477
premium-plus-monthly,2022,28,111,0.46835443037974683
premium-plus-monthly,2022,29,110,0.4641350210970464
